,vocab,meaning
2512,methodical,"a.有方法的,有系统的 "
2513,relish,"n.滋味,爱好,吸引力vt.调味,喜欢vi.有味道 "
2514,cadent,a.⑴有节奏的;有韵律的⑵[古]下降的 
2515,beneficial,a.有益的 
2516,prestige,"n.声望,威望,威信 "
2517,proclaim,"vt.宣布,公告,赞扬,表明,宣言 "
2518,redouble,"vt.使…再倍增;使…再加倍,加强;使…激增 "
2519,buoyancy,"n.⑴浮力;浮性⑵乐天性格,开朗⑶上涨趋势 "
2520,reclaim,"vt.开垦,改造,回收,纠正,感化vi.改造,感化 "
2521,emphatic,"a.语调强的,用力的,强调了的 "
2522,verbose,"a.用字多的,冗长,累赘的 "
2523,mishandle,"vt.虐待,胡乱处理 "
2524,antipathy,"n.憎恶,反感 "
2525,digress,"vi.走向岔道,离题,扯到枝节上 "
2526,modicum,n.少量 
2527,candid,"a.坦白的,率直的,公正的 "
2528,formidable,"a.强大的,可怕的,艰难的 "
2529,serpentine,"a.蛇的,阴险的,迂回的vi.缓慢地流,蜿蜒 "
2530,foil,"n.箔,烘托,衬托vt.衬托,阻止,贴箔于,挫败,挡开 "
2531,incessant,a.不断的；不停的；连续的 
2532,gaudy,"a.俗丽的,华而不实的n.盛大宴会 "
2533,legalize,"vt.法律上认为正当,公认,使合法化 "
2534,predilection,"n.嗜好,偏爱,袒护 "
2535,eulogize,"vt.称赞,颂扬 "
2536,enervate,"vt.使衰弱a.衰弱的,无力的 "
2537,consistency,"n.坚固性,浓度,一致性 "
2538,laud,"n.赞美,称赞vt.赞美,称赞 "
2539,defensive,"a.防卫的,辩护的n.守势,防卫姿势,防卫物 "
2540,disorient,"vt.使失去方向感,使迷惑 "
2541,deceit,"n.欺骗,谎言 "
2542,altruism,"n.利他主义,利他 "
2543,antecedent,"n.前情,先行词a.在前的,居先的 "
2544,notoriety,"n.恶名,丑名,声名狼藉 "
2545,furious,"a.狂怒的,激烈的,吵闹的 "
2546,routine,"n.常式,日常工作,惯例,例行公事a.日常的 "
2547,mundane,"a.现世的,世俗的,宇宙的 "
2548,demographic,a.人口统计学的 
2549,transmit,"vt.传输,转送,传达,传播,发射,遗传 "
2550,quarrelsome,"a.喜欢吵架的,好争论的,怒气冲冲的 "
2551,hodgepodge,"n.混煮,杂菜,混淆 "
2552,mystify,"vt.使神秘化,使难解,迷惑n.变幻线 "
2553,eradicative,"a.根除的,消灭的 "
2554,embarrassment,"n.困难,阻碍,困窘 "
2555,panoply,"n.全套披甲,全幅盔甲,华服美饰 "
2556,distortion,"n.扭曲,变形,曲解 "
2557,demise,"n.崩,薨,死亡vt.让渡,遗赠,转让 "
2558,expendable,"a.⑴可消费的⑵可牺牲的,消耗用的,消耗品 "
2559,elusive,"a.难懂的,易忘的,难捉摸的 "
2560,renounce,"vt.拒绝,放弃,否认,垫牌,放弃权利 "
2561,condemnation,"n.非难,罪的宣告,非难的理由 "
2562,delusion,"n.迷惑,欺瞒,错觉 "
2563,ad-lib,"v.临时穿插,信口说出,即兴讲演 "
2564,definable,"a.可解说的,可下定义的,可解释的 "
2565,obfuscate,"vt.弄暗,使模糊,使迷乱 "
2566,irreverent,"a.不敬的,不逊的,无礼的 "
2567,radical,"n.激进分子,基础a.激进的,根本的,基本的 "
2568,egotistical,"a.自我本位的,任性的 "
2569,permissive,"a.许可的,获准的,自由的 "
2570,convict,"n.囚犯,罪犯vt.宣告有罪,使知罪 "
2571,overhaul,"vt.分解检查,翻修,精细检查n.精细检查 "
2572,impulsive,"a.冲动的,受感情驱使的,任性的 "
2573,replication,"n.回答,反响,复制,弯回,折转,原告的否认抗辩 "
2574,ironic,"a.讥讽的,说讥讽话的;(用)反语的 "
2575,contend,"vi.奋斗,斗争,竞争vt.为…斗争 "
2576,guesswork,"n.臆测,猜测,凭猜测所做之工作 "
2577,decisive,"a.决定性的,坚定的,果断的 "
2578,rebate,"n.减少,折扣vt.减少,打折扣vi.打折扣 "
2579,aplomb,"n.沉着,泰然自若,垂直 "
2580,diagnose,v.诊断 
2581,arrogant,"a.傲慢的,自大的 "
2582,novelty,"n.新奇,新鲜,新奇的事物 "
2583,haughty,"a.傲慢的,骄傲的,不逊的 "
2584,incongruous,"a.不协调的,不一致的,前后不一的 "
2585,scandalous,"a.不体面的,可耻的,可恶的 "
2586,restore,"vt.回复,恢复,修复,修补v.还原 "
2587,poignant,"a.严厉的,尖锐的,剧烈的,令人痛苦的 "
2588,imprecise,"a.不严密的,不精确的 "
2589,aural,"a.耳的,听觉的 "
2590,popularity,"n.名声,受大众欢迎,流行 "
2591,innovator,"n.改革者,刷新者 "
2592,generosity,"n.慷慨,宽大 "
2593,catastrophic,"a.悲惨的,灾难的 "
2594,irrationality,"n.不合理,无条理,无理性 "
2595,lessen,"vt.减少,缩小,减轻vi.变小 "
2596,reveal,"vt.露出,显示,透露,(神)启示,泄露n.窗侧,门侧 "
2597,qualitative,"a.性质上的,质的,定性的 "
2598,ornamentation,n.⑴装饰⑵[集合称]装饰品 
2599,agnostic,n.不可知论者 
2600,prescient,"a.预知的,有先见之明的,有见识的 "
2601,unstable,a.不稳定的 
2602,prolong,"vt.延长,拖延,拖长 "
2603,degenerate,"a.堕落的vi.退化,堕落vt.使变质,使退化 "
2604,articulate,"a.有关节的,发音清晰的vt.接合,明白地说 "
2605,exacerbate,"vt.恶化,增剧,激怒,使加剧 "
2606,infamous,"a.无耻的,不名誉的,声名狼藉的 "
2607,symmetry,"n.对称,调和,匀称 "
2608,abhorrence,n.痛恨 
2609,forsake,"vt.放弃,断念,抛弃 "
2610,milestone,"n.里程碑,里程石,一里程标 "
2611,maudlin,"a.容易流泪的,感伤的,醉后好哭的n.易流泪 "
2612,reparation,"n.补偿,赔偿,修理,恢复,弥补 "
2613,equanimity,"n.平静,镇定,沉着 "
2614,pilfer,"v.盗,偷,窃 "
2615,complain,"vi.vt.抱怨,悲叹,控诉 "
2616,surrogate,"n.代理,代理人,代用品vt.使代理,使代替 "
2617,absolve,"vt.宣告…无罪,赦免,免除 "
2618,decimation,"n.每十人杀一人,大批杀害 "
2619,impossibility,"n.不可能之事,不可能 "
2620,superstitious,a.迷信的 
2621,secrecy,"n.秘密,保密 "
2622,tentative,a.试验性的，暂定的；踌躇的n.假设，试验 
2623,extremity,"n.极端,极点,临死,绝境,困境 "
2624,adamant,n.坚硬的东西a.非常坚硬的 
2625,epistolary,"a.书信的,用书信的,书信体的 "
2626,amalgamation,"n.与汞混合,融合,合并 "
2627,lax,"a.松的,松懈的,松弛的,腹泻的n.泻肚,元音 "
2628,revive,"vt.使苏醒,使复兴,使振奋,回想起 "
2629,concise,"a.简洁的,简明的 "
2630,evanescent,"a.逐渐消失的,容易消散的,会凋零的 "
2631,discern,"v.辨别,看清楚 "
2632,concordant,"a.和谐的,相调和的,一致的 "
2633,pundit,"n.学者,梵学者,博学的人,权威 "
2634,cosmetic,n.化妆品a.化妆用的 
2635,earthy,"a.土的,土质的,土味的 "
2636,obligatory,"a.义不容辞的,义务的,必须的 "
2637,cognition,"n.认识,认识力,知觉 "
2638,authoritarian,"a.独裁的,独裁主义的 "
2639,vulnerable,"a.易受伤害的,有弱点的,脆弱的,易受攻击的 "
2640,incorruptible,"a.不腐败的,不能收买的,清廉的 "
2641,misjudge,v.判断错 
2642,sonorous,"n.洪亮的,响亮的,堂堂的 "
2643,acquiesce,"vi.默许,勉强同意 "
2644,nebulous,"a.星云的,星云状的,朦胧的 "
2645,immobility,"n.不动性,不动,固定 "
2646,coerce,"vt.强制,强迫 "
2647,wistful,"a.渴望的,想望的 "
2648,collaborator,"n.合干者,合作者,共同研究者 "
2649,subtract,"vt.减去,扣掉,减少vi.作减法 "
2650,aphorism,"n.格言,警语 "
2651,bucolic,"a.⑴牧人的,田园生活的⑵田园诗,田园诗人 "
2652,augment,"v.增加,增大n.增加 "
2653,invoke,"vt.祈求,恳求,引起,援引,实行 "
2654,mortality,"n.必死的命运,死亡数目,死亡率 "
2655,ludicrous,"a.可笑的,滑稽的,荒唐的 "
2656,showy,"a.艳丽的,炫耀的 "
2657,elation,"n.得意洋洋,兴高采烈 "
2658,transgression,"n.违反,犯罪,逸出 "
2659,mediocre,"a.不好不坏的,通常,平凡的 "
2660,compliant,"a.顺从的,适应的 "
2661,willful,"a.任性的,故意的,有意的 "
2662,extroverted,a.外向性的；性格外向的；喜社交的 
2663,myriad,"n.万,无数a.无数的,一万的,种种的 "
2664,sedate,"a.沉着的,镇静的,安静的vt.给…服镇静剂 "
2665,recognition,"n.赞誉,认得,承认,重视,认识,认可 "
2666,imaginative,"a.想象的,虚构的 "
2667,discretionary,"a.随意的,自由裁量的,可随意使用的 "
2668,congenial,"a.同性质的,适意的,趣味相同的 "
2669,prolific,"a.生子的,结果实的,多产的,丰富的 "
2670,realistic,"a.现实的,逼真的,现实主义的,实在论的 "
2671,fabrication,"n.制造,建造,虚构的谎言 "
2672,whimsy,"n.怪念头,心情浮动,反复无常 "
2673,investigation,"n.调查,研究 "
2674,succumb,"vi.屈从,屈服,死 "
2675,degeneration,"n.退化,恶化,堕落 "
2676,periodically,"adv.定期地,周期性地 "
2677,reassure,"vt.使…安心,再保证 "
2678,formulate,"vt.用公式表示,明确的叙述,制定 "
2679,poorly,"ad.贫穷地,贫乏地a.身体不舒服的,心情恶劣的 "
2680,intermittent,"a.间歇的,断断续续的 "
2681,toady,"n.谄媚者,拍马屁的人v.谄媚,拍马屁 "
2682,spontaneity,"n.自然发生,自生,自发 "
2683,enjoin,"vt.吩咐,命令,嘱咐,禁止 "
2684,recessive,"a.退行的,逆行的,后退的,隐性的n.隐性性状 "
2685,elocutionist,"n.雄辩家,演说家 "
2686,temporize,"vi.拖延,妥协,顺应时势 "
2687,reminiscent,"a.回忆的,怀旧的n.回忆者,回忆录作者 "
2688,arrogance,"n.傲慢态度,自大 "
2689,respite,"n.⑴暂止,休息⑵延期;缓刑⑶暂时减轻 "
2690,boon,n.恩惠 
2691,opportune,"a.时机适宜的,适当的 "
2692,placid,"a.平静的,沉着的,平稳的 "
2693,somber,"a.⑴阴暗的,阴沉的,暗色的,朴素的⑵忧郁的 "
2694,edify,"vt.启迪,熏陶,教诲 "
2695,entrust,"vt.信赖,信托,交托 "
2696,deadly,"a.致命的,致死的ad.非常地,如死一般地 "
2697,obstinacy,"n.倔强,顽固,固执 "
2698,quaint,"a.古雅的,离奇有趣的,奇怪的 "
2699,rebellion,"n.谋反,叛乱,反抗 "
2700,magnanimous,"a.宽宏大量的,有雅量的 "
2701,disregard,"n.忽视,漠视vt.忽视,不顾 "
2702,inadequate,"a.不充分的,不适当的 "
2703,repertory,"n.仓库,库存,储备,全部剧目 "
2704,migration,"n.移民,移往,移动 "
2705,divulge,"vt.泄露,暴露 "
2706,succulent,"a.多汁的,多水分的,多汁性的 "
2707,ebullient,"a.沸腾的,热情的,热情洋溢的 "
2708,harshly,"ad.粗糙地,粗暴地,刺耳地 "
2709,reintegrate,"vt.再使完整,恢复,重建,复兴 "
2710,puerile,"a.孩子气的,天真的,未成熟的 "
2711,consultation,"n.请教,咨询,协议会 "
2712,abate,"vt.缓和,减弱,减少,废除vi.缓和,减弱,减少 "
2713,provoke,"vt.激怒,惹起,驱使 "
2714,scrutiny,"n.细看,仔细检查,监视,选票的复查 "
2715,unsettle,"vt.搅乱,使不安定vi.动乱不定,离开固定位置 "
2716,individuality,"n.个性,人格,特征 "
2717,solemn,"a.严肃的,郑重的,庄严的 "
2718,allege,"vt.宣称,申述,主张,断言 "
2719,incorporate,"a.合并的,公司组织的,一体化的vt.合并 "
2720,unpretentious,"a.不炫耀的,含蓄的,谦虚的 "
2721,criticism,"n.批评,评论,非难 "
2722,icon,"n.圣像,画像,图标,偶像,肖像n.像标 "
2723,prognosis,"n.预知,预测,预后 "
2724,sundry,a.各式各样的 
2725,illusory,"a.产生幻觉的,幻影的,错觉的 "
2726,expeditious,"a.迅速的,敏捷的 "
2727,crystal,"n.水晶,结晶a.水晶的,透明的 "
2728,pestilence,n.瘟疫 
2729,pigment,"n.色素,颜料 "
2730,economize,"v.节约,节省,有效地利用 "
2731,unattractive,"a.无魅力的,乏味的,不美的 "
2732,playful,"a.爱打趣的,多趣的,嬉戏的 "
2733,resourceful,"a.策略的,机智的,资源丰富的 "
2734,melancholy,"n.忧郁,悲哀,愁思a.忧郁的,使人悲伤的,愁思的 "
2735,ostentatious,"a.装饰表面的,夸示的,华美的 "
2736,verdant,"a.翠绿的,青翠的,生疏的,不老练的 "
2737,utilitarian,"a.功利的,功利主义的n.功利论者,功利主义者 "
2738,regulate,"vt.有系统地管理,规定,使整齐,调整 "
2739,membranous,a.膜(状)的;形成膜的 
2740,germinate,"vi.发芽,萌芽,开始发育vt.使发芽,使发达 "
2741,assiduous,"a.勤勉的,刻苦的 "
2742,well-wisher,n.祝福者 
2743,reverse,"n.相反,背面,失败a.反面的,相反的vt.使反向 "
2744,elementary,"a.初步的,基本的 "
2745,disavow,"vt.否认,否定,抵赖 "
2746,usurp,"vt.篡夺,做霸占行为,夺取vi.篡夺,侵占 "
2747,discrepancy,"n.相差,差异,差别 "
2748,morbid,"a.不健全的,病态的,疾病的,可怕的 "
2749,counterfeiter,"n.伪造者,货币伪造者,假造者 "
2750,dexterous,"a.灵巧的,用右手的 "
2751,insufferable,"a.不可忍受的,忍耐不住的,气人的 "
2752,inescapable,"a.逃不掉的,不可避免的 "
2753,deafen,vt.使聋vi.变聋 
2754,intercede,"vi.仲裁,说情,调解 "
2755,timeworn,"a.陈旧的,老朽的 "
2756,harmonious,"a.和睦的,调和的,和谐的,协调的 "
2757,lament,"n.悲叹,悔恨,悼词,挽歌vt.哀悼vi.悔恨,悲叹 "
2758,subservient,"a.有帮助的,有用的,奉承的 "
2759,dismantle,"vt.拆除…的设备,分解,去除覆盖物 "
2760,impartial,"a.公平的,不偏不倚的 "
2761,foresight,"n.远见,深谋远虑 "
2762,inchoate,"a.刚开始的,早期的,未发达的 "
2763,gallantry,"n.勇气,豪勇,勇敢的行为 "
2764,innovative,a.创新的 
2765,meddler,"n.爱管闲事的人,干涉者 "
2766,figurative,"a.比喻的,形容多的,修饰丰富的 "
2767,repel,"vt.逐退,抵制,使厌恶,抗vi.反抗,击退 "
2768,alteration,"n.变更,改造 "
2769,provocation,"n.激怒,刺激,挑拨 "
2770,finesse,"n.精密技巧,灵巧,策略v.用计谋处理,出小牌 "
2771,impediment,"n.妨碍,阻碍,行李,口吃 "
2772,ridicule,"n.嘲笑,愚弄,笑柄vt.嘲笑,嘲弄,愚弄 "
2773,credence,"n.信用,祭器台,供桌,凭证 "
2774,supplementary,"a.补足的,补充的,追加的 "
2775,dalliance,"n.调戏,调情 "
2776,portray,"vt.描绘,描写,描写…的肖像,逼真地描写 "
2777,archive,v.存档n.档案文件 
2778,unobtainable,a.难获得的 
2779,enthusiasm,"n.狂热,热心 "
2780,prominent,"a.卓越的,显著的,凸出的,突起的 "
2781,forgettable,"a.容易被忘的,可忘记的 "
2782,agreeable,"a.愉快的,和蔼可亲的,同意的 "
2783,tribulation,"n.苦难,困苦,考验 "
2784,accommodate,"vt.使适应,调节,和解,容纳vi.适应 "
2785,particularity,"n.特殊性,特质,细目 "
2786,occasionally,"ad.有时候,偶尔 "
2787,impressionistic,"a.印象主义的,印象派的,给人深刻印象的 "
2788,tenacity,"n.固执,不屈不挠,顽固,坚韧 "
2789,speculative,"a.思索性的,投机的,推理的 "
2790,sporadic,"a.偶尔发生的,零星发生的,分散的 "
2791,tyranny,"n.压治统治,暴政 "
2792,enigmatic,"a.阴阳怪气的,谜一般的,高深莫测的 "
2793,vapid,"a.乏味的,走了气味的,无生气的,无趣味的 "
2794,illegible,"a.难辨认的,字迹模糊的 "
2795,dispel,"vt.驱散,驱逐 "
2796,encompass,"vt.⑴围绕,包围⑵包含,含有⑶造成<坏的结果等> "
2797,define,"vt.定义,详细说明 "
2798,munificence,"n.宽宏大量,慷慨给予 "
2799,diversify,"vt.使成形形色色,使多样化,使变化 "
2800,remonstrance,"n.抗议,忠告,规劝 "
2801,desolate,a.荒凉的 
2802,renewal,"n.更新,革新,复兴,恢复,补充,继续,续借,重申 "
2803,retraction,"n.缩进,取消,撤回 "
2804,originality,"n.创意,新奇,原始 "
2805,adversary,"n.敌手,对手 "
2806,elitist,"n.优秀人才,杰出人才a.杰出人才的 "
2807,ostensible,"a.表面的,假装的 "
2808,expansive,"a.易膨胀的,易扩张的 "
2809,onerous,"a.繁重的,负有法律责任的 "
2810,foreshadow,"vt.成为前兆,暗示,预示 "
2811,endure,"vt.(耐心地)忍受,容忍,忍耐 "
2812,embodiment,"n.具体化,化身 "
2813,grate,"n.⑴炉格子,炉架⑵(窗等的)(铁)格子 "
2814,stilted,a.不自然的；呆板的 
2815,reap,"vt.收割,收获,获得vi.收割,得到报应 "
2816,misbehave,"v.(使)行为无礼貌,(使)行为不端 "
2817,misrepresent,"vt.误传,不称职地代表 "
2818,taciturn,"a.沉默寡言的,不太说话的,无言的 "
2819,debacle,"n.崩溃,溃裂 "
2820,compromise,"n.妥协,折中,折中案,和解vi.妥协处理 "
2821,purify,"vi.净化vt.使纯净,净化,提纯,精炼 "
2822,itinerant,a.巡回的n.巡回者 
2823,clinical,"a.临床的,病房用的 "
2824,unconditional,"a.无条件的,无限制的,绝对的 "
2825,abstinence,"n.节制,禁欲,戒酒 "
2826,vestigial,"a.痕迹的,遗迹的,退化的 "
2827,debatable,"a.可争论的,成问题的,未决定的 "
2828,uplift,"n.高扬,道德的向上vt.提高,抬起vi.上升 "
2829,penitent,"a.忏悔的,悔悟的n.改过行善的人,忏悔的人 "
2830,apathetic,"a.缺乏感情的,缺乏兴趣的,无动于衷的 "
2831,concession,"n.特许,让步,认可 "
2832,roam,"v.漫游,闲逛,徜徉n.漫步,漫游 "
2833,likelihood,"n.可能,可能性 "
2834,impressionable,"a.易感的,敏感的,易受影响的 "
2835,withhold,"vt.扣留,保留,抑制vi.忍住 "
2836,indecisive,"a.非决定性的,犹豫不决的,不明确的 "
2837,gibe,v.嘲笑n.嘲笑 
2838,phobic,a.病态性恐惧的 
2839,indigence,"n.贫乏,穷困 "
2840,clientele,"n.诉讼委托人,客户 "
2841,tyrant,n.暴君 
2842,peripheral,"a.周边的,周围的,肤浅的 "
2843,revoke,"vt.撤回,废除vi.n.有牌不跟 "
2844,irascibility,"n.易怒,脾气暴躁 "
2845,peer,"n.同等的人,匹敌,贵族vi.凝视,窥视vt封为贵族 "
2846,substantive,"a.表示实在的,有实质的,独立的n.实词,名词 "
2847,socialize,vt.使社会化；使社会主义化；使适应社会生活 
2848,erosion,"n.腐蚀,冲蚀,侵蚀 "
2849,tout,"vi.招徕顾客vt.招徕,吹嘘n.侦查者 "
2850,outmode,vt.使不流行或过时vi.变为不流行或过时 
2851,potence,"n.力量,权力,效力 "
2852,fondness,"n.⑴慈爱;溺爱⑵喜爱,嗜好 "
2853,persist,"vi.坚持,固执,持续 "
2854,viable,"a.能养活的,能生育的 "
2855,contentious,"a.好争吵的,爱争论的,有异议的 "
2856,euphoric,a.欣快的；精神愉快的 
2857,discernment,"n.⑴识别⑵眼力,洞察力,敏锐 "
2858,plentiful,"a.许多的,丰富的,丰饶的 "
2859,relieve,"vt.减轻,救济,解除,使免除,调剂vi.救济 "
2860,abridgment,"n.删节,缩短,删节本,剥夺 "
2861,credo,n.信条 
2862,unalterable,"a.不能改变的,不变的,坚定不移的 "
2863,viscous,"a.黏的,有黏性的,黏性的 "
2864,decorum,"n.端正,礼貌合宜,礼仪 "
2865,culpable,"a.该责备的,有罪的,不周到的 "
2866,endorsement,"n.支持,认可,背书 "
2867,persistent,"a.固执的,坚持的,持续的 "
2868,accommodate,"vt.使适应,调节,和解,容纳vi.适应 "
2869,intrusive,"a.打扰的,插入的 "
2870,unrelenting,"a.不宽恕的,无情的,冷酷的 "
2871,accost,"vt.招呼,搭讪,勾引 "
2872,dictator,"n.命令者,独裁者,独裁政权执政者 "
2873,cogent,"a.使人首肯的,使人信服的,切实的 "
2874,recalcitrant,"a.反抗的,反对的,顽强的n.反抗的人,顽强者 "
2875,distinct,"a.清楚的,显著的,不同的 "
2876,intrigue,"n.阴谋,复杂的事vi.密谋,私通vt.,用诡计取得 "
2877,relevance,"n.中肯,适当 "
2878,conjoin,"v.(使)结合,(使)连接,(使)联合 "
2879,flaw,"n.缺点,裂纹,瑕疵,一阵狂风 "
2880,indeterminate,"a.不确的,不确定的,含混的 "
2881,philanthropic,a.博爱的 
2882,austere,"a.严峻的,简朴的 "
2883,onset,"n.攻击,进攻,肇端 "
2884,waver,"n.动摇,踌躇,挥动者vi.摇摆,颤抖,犹豫,摇曳 "
2885,unsure,"a.不肯定的,不确定的,没有自信的 "
2886,insecurity,"n.不安全,不安全感 "
2887,unchanged,a.无变化的 
2888,residual,"a.残渣的,剩余的n.残渣,剩余,余数 "
2889,nefarious,"a.穷凶极恶的,无法无天的,残暴的 "
2890,scholarly,"a.⑴有学者风度的,学究型的⑵学术上的 "
2891,indistinct,"a.不明了的,朦胧的 "
2892,cajole,"vt.以甜言蜜语哄骗,勾引 "
2893,disputation,"n.争论,议论,驳斥 "
2894,commodity,"n.日用品,商品,有用的物品 "
2895,hysterical,"a.歇斯底里的,异常兴奋的 "
2896,sophistication,"n.诡辩,强词夺理,混合 "
2897,recalcitrance,"n.反抗,不服从,顽强 "
2898,lurid,"a.火烧似的,苍白的,华丽而庸俗的,可怕的 "
2899,fiscal,"a.财政的,国库的,会计的 "
2900,tedious,"a.沉闷的,冗长乏味的 "
2901,hesitant,"a.迟疑的,踌躇的,犹豫不定的 "
2902,acumen,"n.敏锐,聪明 "
2903,terse,"a.简洁的,扼要的 "
2904,miraculous,"a.奇迹的,不可思议的 "
2905,timely,"a.及时的,适时的ad.及时地 "
2906,succinct,"a.简洁的,紧身的 "
2907,commandeer,"vt.征募,霸占 "
2908,hog,"n.猪,贪婪者,像猪般的人v.(使)拱起 "
2909,terminate,"a.有结尾的,有限的vi.结束,终止,满期 "
2910,weary,"a.疲倦的,萎靡的,厌倦的vt.使疲倦,使厌烦 "
2911,dishearten,"vt.使…气馁,使…沮丧 "
2912,extensive,"a.广的,广泛的,多方面的 "
2913,vicarious,a.代理的；替代的；发同感的 
2914,discharge,"vt.卸下,放出,解雇,放电,履行,拔染 "
2915,demean,"vt.贬低身份,举止 "
2916,abstain,"vi.自制,戒绝,弃权,避免 "
2917,lexicon,"n.辞典,词典 "
2918,impugn,"vt.责难,抨击,攻击 "
2919,antiquarian,"n.古物研究者,收集古物者a.古物研究者 "
2920,ingenue,n.⑴天真无邪的少女⑵扮演天真少女的角色 
2921,apprehend,"vt.理解,忧虑,逮捕vi.理解 "
2922,deprive,"vt.剥夺,使丧失 "
2923,reconcile,"vt.使和解,调停,使和谐,使听从,使顺从,使一致 "
2924,asceticism,"n.禁欲主义,苦行 "
2925,epitome,"n.概要,缩影,概括 "
2926,fabricate,"vt.制造,建造,装配,伪造 "
2927,ambivalence,n.正反感情并存 
2928,subtle,"a.敏感的,精细的,狡猾的,微妙的,精巧的 "
2929,infatuation,"n.迷惑,迷恋,醉心 "
2930,opulent,"a.丰裕的,丰富的,丰饶的 "
2931,myopic,a.近视的 
2932,rejuvenate,"vt.使年轻,使复原,使恢复精神,返老还童 "
2933,misery,"n.悲惨,不幸,穷困 "
2934,commend,"vt.委托给,推荐,嘉奖 "
2935,texture,"n.织法,组织 "
2936,antagonize,"vt.使成敌人,敌对,反对vi.引起反抗 "
2937,nonchalance,"n.不关心,冷淡,冷静 "
2938,linkage,"n.联合,连锁,结合,联动 "
2939,disposition,"n.性情,处置,处理,布置 "
2940,miscreant,"a.邪恶的,邪道的,异端的n.罪大恶极的人,恶棍 "
2941,backlash,"n.反斜线,后座 "
2942,waiver,"n.放弃,弃权,弃权证书 "
2943,eloquent,"a.雄辩的,有口才的,动人的 "
2944,ineptitude,"n.不适当,愚笨,愚昧的言行 "
2945,carnivorous,a.食肉的 
2946,endorse,"vt.支持,赞同,背书于,签 "
2947,unforeseen,a.无法预料的 
2948,pragmatic,"a.忙碌的,活跃的,实用主义的,国事的 "
2949,vacuous,"a.空的,空虚的,心灵空虚的 "
2950,impassive,"a.无感情的,冷淡的,不动的,平静的 "
2951,ornate,"a.装饰的,华丽的 "
2952,intentional,"a.企图的,策划的,故意的 "
2953,variegate,"vt.使成斑驳,使多样化 "
2954,underscore,vt.划线于…下n.底线 
2955,expedite,"vt.加快,促进,派出a.畅通的,无阻碍的 "
2956,funerary,"a.葬礼的,埋葬的 "
2957,inept,"a.不适当的,无能的,笨拙的 "
2958,decorous,a.有礼貌的，高雅的；端正的 
2959,boost,"n.推进,支援,吹捧vt.推进,提高,捧场,促进 "
2960,reprieve,"n.缓刑,缓刑令,暂缓vt.暂减,缓期执行 "
2961,spurious,"a.假造的,伪造的,欺骗的 "
2962,scent,"n.气味,嗅觉,线索vt.闻出,嗅,使充满气味 "
2963,constrain,"vt.强迫,勉强,驱使 "
2964,inconspicuous,"a.不显眼的,不引人注意的 "
2965,continual,"a.持续不断的,继续的 "
2966,extract,"n.榨出物,精汁,选粹vt.摘录,析取,吸取 "
2967,iridescent,"a.彩虹色的,闪光的 "
2968,establish,"vt.建立,确立,制定vi.移植生长 "
2969,restrictive,"a.限制的,拘束的,限定的n.限定词 "
2970,conspicuous,"a.显著的,显眼的,出众的 "
2971,deferment,"n.迁延,延期,展缓 "
2972,conserve,"vt.保存,保全n.蜜饯,果酱 "
2973,enrage,"vt.激怒,使暴怒 "
2974,exultation,"n.狂喜,大悦,欢欣 "
2975,nondescript,"a.莫可名状的,难以区别的n.难以名状 "
2976,rudimentary,"a.⑴基本的;初步的⑵早期的,发育不全的 "
2977,propagandist,"n.宣传者,传道者a.宣传的,传道的 "
2978,fathom,"n.长度单位(6尺)vt.测量深度,看穿,彻底了解 "
2979,aerate,"vt.使暴露于空气中,使充满气体 "
2980,fastidious,"a.难取悦的,挑剔的,苛求的 "
2981,entourage,"n.[集合]随行人员,周围的随员,仆从等 "
2982,fidelity,"n.忠实,诚实,忠诚,保真度 "
2983,capricious,"a.反复无常的,善变的,任性的 "
2984,pompous,"a.浮夸的,爱炫耀的,自大的,华而不实的 "
2985,conformity,"n.适合,一致,相似 "
2986,indefensible,"a.不能防卫的,无辩护余地的 "
2987,reminiscence,"n.回想,回忆,话旧,怀旧,记忆力 "
2988,savanna       ,n.大草原 
2989,tawdry,"a.廉价而俗丽的,非常华丽的n.廉价俗丽之物 "
2990,wrath,"n.愤怒,激怒,猛烈的力量,神谴 "
2991,manifest,"n.载货单,旅客名单a.显然的,明白的vt.证明 "
2992,pettiness,"n.琐碎,微少,小气,卑鄙 "
2993,libel,"n.诽谤罪,侮辱v.诽谤,中伤,损害名誉 "
2994,emptiness,"n.空虚,无知 "
2995,resentment,"n.怨恨,愤恨 "
2996,capture,"n.抓取,战利品,捕获之物vt.抓取,获得,迷住 "
2997,comparable,"a.可比较的,比得上的 "
2998,disparage,"vt.蔑视,贬损 "
2999,stolid,"a.迟钝的,神经麻木的 "
3000,dissipate,"vt.散失,驱散,浪费vi.消散,放荡 "
3001,oust,"vt.逐出,夺取,驱逐 "
3002,melee,"n.互殴,乱斗,混战 "
3003,standardize,"vt.使标准化,使合于标准,用标准检验 "
3004,frugal,"a.节俭的,朴素的 "
3005,surreptitious,"a.秘密的,暗中的,偷偷摸摸的 "
3006,amend,"vt.修正,改善,改良vi.改过自新 "
3007,restitution,"n.归还,偿还,赔偿 "
3008,curiosity,"n.好奇心,新奇的事物,珍品 "
3009,unprincipled,"a.无原则的,不道德的,不合人道的 "
3010,multiplicity,"n.多数,重复,多样 "
3011,pragmatist,"n.实用主义者,爱管闲事的人 "
